observationStartMJD,band,m5,t_days,fiesta_filter,mag_true,snr_exp,mag_err,snr_obs,detected,mag_obs,mag_ulim
64623.172762112685,g,25.06903695107893,0.2762253258333658,lsstg,23.60055876773614,18.397726851346718,0.05768378941605942,20.171320362667476,True,23.50063336702349,
64623.17318497589,g,25.053525660734977,0.27664818903576816,lsstg,23.601808598413314,18.145595805030254,0.05845835321400054,15.903502849394538,True,23.745004702588105,
64623.2010486138,r,24.72494070942118,0.3045118269510567,lsstr,23.713420061657196,12.410684145283215,0.08428646212515824,11.36063193598465,True,23.809403144541626,
64623.20147145461,r,24.7439526008626,0.30493466775806155,lsstr,23.713137541834516,12.619932412890927,0.08294564684743734,12.425442139632002,True,23.7300004859689,
64623.20592165615,g,25.07079305853418,0.3093848692951724,lsstg,23.737481074803526,16.365883130999016,0.06458739812232918,18.833799324492425,True,23.58498484200166,
64623.20632741001,g,25.069887188865344,0.3097906231560046,lsstg,23.739849255472645,16.319971861377002,0.06476274193041873,16.476444350569015,True,23.729489029860325,
64623.21286183035,i,24.20317121311125,0.31632504349545343,lssti,23.88739405709165,6.663217960908773,0.15190020919786093,6.869325156049912,True,23.854318921488375,
64623.21327278104,i,24.20437915137402,0.3167359941871837,lssti,23.886496613787948,6.675935797873965,0.15163041512269276,6.318863897240835,True,23.946179489526887,
64624.06952597541,y,21.751143000781457,1.1729891885552206,lssty,26.200969602588316,0.08332101356512558,2.7850166563907157,0.7510529127655055,False,,21.751143000781457
64624.069925927884,y,21.77799849859438,1.1733891410331125,lssty,26.202931911186408,0.08526175288697624,2.761960784829302,0.7583531946904134,False,,21.77799849859438
64625.06805570817,y,21.96207538227299,2.171518921320967,lssty,,,,,False,,21.96207538227299
64625.06845872553,y,21.98097276441449,2.1719219386795885,lssty,,,,,False,,21.98097276441449
64625.3181022698,g,24.855442912406392,2.42156548294588,lsstg,,,,,False,,24.855442912406392
64625.31850648212,g,24.849401189002265,2.4219696952714003,lsstg,,,,,False,,24.849401189002265
64625.32052970761,i,24.12446558111143,2.4239929207615205,lssti,,,,,False,,24.12446558111143
64625.32092898238,i,24.120499494393595,2.4243921955276164,lssti,,,,,False,,24.120499494393595
64625.32294957521,y,22.57352286163142,2.426412788357993,lssty,,,,,False,,22.57352286163142
64625.32335045596,y,22.544448249749102,2.4268136691098334,lssty,,,,,False,,22.544448249749102
64626.07900848887,u,23.51541128096641,3.182471702020848,lsstu,,,,,False,,23.51541128096641
64626.07950169832,u,23.551507497079463,3.182964911466115,lsstu,,,,,False,,23.551507497079463
64626.07999526841,u,23.55770917638904,3.183458481558773,lsstu,,,,,False,,23.55770917638904
64629.03316381524,u,22.60082847963864,6.136627028390649,lsstu,,,,,False,,22.60082847963864
64629.03365794784,u,22.617435876514907,6.13712116098759,lsstu,,,,,False,,22.617435876514907
64629.03415299539,u,22.632127552961087,6.137616208536201,lsstu,,,,,False,,22.632127552961087
64629.03464934133,u,22.63056970623472,6.138112554479449,lsstu,,,,,False,,22.63056970623472
64629.0351443922,u,22.70327028321532,6.1386076053458964,lsstu,,,,,False,,22.70327028321532
64629.035641010494,u,22.72296015470412,6.139104223642789,lsstu,,,,,False,,22.72296015470412
64629.03997990068,g,24.092253787827715,6.143443113825924,lsstg,,,,,False,,24.092253787827715
64629.06358415744,r,23.931135047211,6.167047370588989,lsstr,,,,,False,,23.931135047211
64629.26197829768,g,24.82433849288894,6.36544151083217,lsstg,,,,,False,,24.82433849288894
64629.26238155507,g,24.822699045360043,6.365844768217357,lsstg,,,,,False,,24.822699045360043
64629.26440855615,i,24.04062406627073,6.367871769296471,lssti,,,,,False,,24.04062406627073
64629.26481420349,i,24.039930032432267,6.368277416637284,lssti,,,,,False,,24.039930032432267
64629.26684547637,u,23.73286839125116,6.370308689518424,lsstu,,,,,False,,23.73286839125116
64629.26734250844,u,23.730345508574963,6.370805721591751,lsstu,,,,,False,,23.730345508574963
64629.26784534026,u,23.670004160762,6.371308553410927,lsstu,,,,,False,,23.670004160762
64629.2830064148,r,24.603978423865847,6.386469627948827,lsstr,,,,,False,,24.603978423865847
64630.288180858166,u,23.90404180127193,7.3916440713146585,lsstu,,,,,False,,23.90404180127193
64630.28867844796,u,23.900842964700693,7.392141661111964,lsstu,,,,,False,,23.900842964700693
64630.28917273274,u,23.8998571302029,7.392635945885559,lsstu,,,,,False,,23.8998571302029
64630.291291124326,r,24.76416784604412,7.394754337474296,lsstr,,,,,False,,24.76416784604412
64630.29169145808,r,24.7615090759809,7.395154671226919,lsstr,,,,,False,,24.7615090759809
64630.29371584651,z,23.69833422419797,7.397179059655173,lsstz,,,,,False,,23.69833422419797
64630.29412011787,z,23.696276923355,7.397583331017813,lsstz,,,,,False,,23.696276923355
64630.310279949175,g,25.069931495767825,7.413743162323954,lsstg,,,,,False,,25.069931495767825
64631.2607812903,u,23.909031261445616,8.3642445034493,lsstu,,,,,False,,23.909031261445616
64631.26127279675,u,23.90753720903704,8.364736009898479,lsstu,,,,,False,,23.90753720903704
64631.26176922124,u,23.90652502592499,8.365232434385689,lsstu,,,,,False,,23.90652502592499
64631.263886888,g,24.845741931053745,8.367350101150805,lsstg,,,,,False,,24.845741931053745
64631.2642990859,g,24.844335216843252,8.36776229905081,lsstg,,,,,False,,24.844335216843252
64631.26632579051,i,24.1309117255183,8.369789003656479,lssti,,,,,False,,24.1309117255183
64631.266734255085,i,24.129361793429837,8.370197468233528,lssti,,,,,False,,24.129361793429837
64632.26157314355,r,24.19773813264386,9.36503635669942,lsstr,,,,,False,,24.19773813264386
64632.26197838154,r,24.19629923143928,9.365441594687582,lsstr,,,,,False,,24.19629923143928
64632.2665781513,u,23.48361766734561,9.370041364447388,lsstu,,,,,False,,23.48361766734561
64632.26707877599,u,23.47963953409131,9.370541989141202,lsstu,,,,,False,,23.47963953409131
64632.267579676976,u,23.47967214382855,9.371042890124954,lsstu,,,,,False,,23.47967214382855
64632.27139372474,z,23.22917784000205,9.374856937887671,lsstz,,,,,False,,23.22917784000205
64632.27179716148,z,23.22649609995231,9.375260374625213,lsstz,,,,,False,,23.22649609995231
